Indicator_id,IndicatorName,category
WBIN-0771,CO2 emissions (kt),Environment
WBIN-0772,CO2 emissions (kg per 2015 US$ of GDP),Environment
WBIN-0773,CO2 emissions from gaseous fuel consumption (% of total),Environment
WBIN-0774,CO2 emissions from gaseous fuel consumption (kt),Environment
WBIN-0775,CO2 intensity (kg per kg of oil equivalent energy use),Environment
WBIN-0776,Renewable energy consumption (% of total final energy consumption),Environment
WBIN-0777,"Electricity production from renewable sources, excluding hydroelectric (% of total)",Environment
WBIN-0778,"Electricity production from renewable sources, excluding hydroelectric (kWh)",Environment
WBIN-0779,Renewable electricity output (% of total electricity output),Environment
WBIN-0780,"Electricity production from oil, gas and coal sources (% of total)",Environment
WBIN-0781,Access to electricity (% of population),Environment
WBIN-0782,Energy intensity level of primary energy (MJ/$2017 PPP GDP),Environment
WBIN-0783,Access to clean fuels and technologies for cooking (% of population),Environment
WBIN-0784,"Access to clean fuels and technologies for cooking, urban (% of urban population)",Environment
WBIN-0785,"Access to clean fuels and technologies for cooking, rural (% of rural population)",Environment
WBIN-0786,Surface area (sq. km),Environment
WBIN-0787,Urban land area (sq. km),Environment
WBIN-0788,Rural land area (sq. km),Environment
WBIN-0789,Land area (sq. km),Environment
WBIN-0790,Average precipitation in depth (mm per year),Environment
WBIN-0791,Forest area (% of land area),Environment
WBIN-0792,Forest area (sq. km),Environment
WBIN-0793,Land area where elevation is below 5 meters (% of total land area),Environment
WBIN-0794,Urban land area where elevation is below 5 meters (% of total land area),Environment
WBIN-0795,Urban land area where elevation is below 5 meters (sq. km),Environment
WBIN-0796,Rural land area where elevation is below 5 meters (% of total land area),Environment
WBIN-0797,Rural land area where elevation is below 5 meters (sq. km),Environment
WBIN-0798,Arable land (% of land area),Environment
WBIN-0799,Agricultural land (% of land area),Environment
WBIN-0800,GNI (current US$),ExternalDebt
WBIN-0801,Total reserves in months of imports,ExternalDebt
WBIN-0802,Total reserves (% of total external debt),ExternalDebt
WBIN-0803,"Total reserves (includes gold, current US$)",ExternalDebt
WBIN-0804,Multilateral debt service (% of public and publicly guaranteed debt service),ExternalDebt
WBIN-0805,"Multilateral debt service (TDS, current US$)",ExternalDebt
WBIN-0806,"Public and publicly guaranteed debt service (% of exports of goods, services and primary income)",ExternalDebt
WBIN-0807,Public and publicly guaranteed debt service (% of GNI),ExternalDebt
WBIN-0808,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",ExternalDebt
WBIN-0809,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",ExternalDebt
WBIN-0810,"IMF repurchases and charges (TDS, current US$)",ExternalDebt
WBIN-0811,Total debt service (% of GNI),ExternalDebt
WBIN-0812,"Total debt service (% of exports of goods, services and primary income)",ExternalDebt
WBIN-0813,"Debt service on external debt, total (TDS, current US$)",ExternalDebt
WBIN-0814,Net ODA received per capita (current US$),ExternalDebt
WBIN-0815,Net ODA received (% of GNI),ExternalDebt
WBIN-0816,Net official development assistance received (current US$),ExternalDebt
WBIN-0817,"Net financial flows, RDB nonconcessional (NFL, current US$)",ExternalDebt
WBIN-0818,"Net financial flows, RDB concessional (NFL, current US$)",ExternalDebt
WBIN-0819,"PPG, private creditors (NFL, US$)",ExternalDebt
WBIN-0820,"PPG, other private creditors (NFL, current US$)",ExternalDebt
WBIN-0821,"PNG, commercial banks and other creditors (NFL, current US$)",ExternalDebt
WBIN-0822,"PNG, bonds (NFL, current US$)",ExternalDebt
WBIN-0823,"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",ExternalDebt
WBIN-0824,"PPG, commercial banks (NFL, current US$)",ExternalDebt
WBIN-0825,"PPG, bonds (NFL, current US$)",ExternalDebt
WBIN-0826,"PPG, official creditors (NFL, US$)",ExternalDebt
WBIN-0827,"IFC, private nonguaranteed (NFL, US$)",ExternalDebt
WBIN-0828,"Net financial flows, others (NFL, current US$)",ExternalDebt
WBIN-0829,"Net financial flows, multilateral (NFL, current US$)",ExternalDebt
WBIN-0830,"Net financial flows, IDA (NFL, current US$)",ExternalDebt
WBIN-0831,"Net financial flows, IBRD (NFL, current US$)",ExternalDebt
WBIN-0832,"Net financial flows, IMF nonconcessional (NFL, current US$)",ExternalDebt
WBIN-0833,"Net financial flows, IMF concessional (NFL, current US$)",ExternalDebt
WBIN-0834,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",ExternalDebt
WBIN-0835,"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",ExternalDebt
WBIN-0836,"Net financial flows, bilateral (NFL, current US$)",ExternalDebt
WBIN-0837,Present value of external debt (% of GNI),ExternalDebt
WBIN-0838,"Present value of external debt (% of exports of goods, services and primary income)",ExternalDebt
WBIN-0839,Present value of external debt (current US$),ExternalDebt
WBIN-0840,"IBRD loans and IDA credits (DOD, current US$)",ExternalDebt
WBIN-0841,"PPG, IDA (DOD, current US$)",ExternalDebt
WBIN-0842,"PPG, IBRD (DOD, current US$)",ExternalDebt
WBIN-0843,Short-term debt (% of total external debt),ExternalDebt
WBIN-0844,"Short-term debt (% of exports of goods, services and primary income)",ExternalDebt
WBIN-0845,Short-term debt (% of total reserves),ExternalDebt
WBIN-0846,"External debt stocks, short-term (DOD, current US$)",ExternalDebt
WBIN-0847,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",ExternalDebt
WBIN-0848,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",ExternalDebt
WBIN-0849,"External debt stocks, long-term (DOD, current US$)",ExternalDebt
WBIN-0850,"Use of IMF credit (DOD, current US$)",ExternalDebt
WBIN-0851,External debt stocks (% of GNI),ExternalDebt
WBIN-0852,"External debt stocks, total (DOD, current US$)",ExternalDebt
WBIN-0853,"Personal remittances, received (current US$)",ExternalDebt
WBIN-0854,"Portfolio equity, net inflows (BoP, current US$)",ExternalDebt
WBIN-0855,"Foreign direct investment, net inflows (BoP, current US$)",ExternalDebt
WBIN-0856,"Exports of goods, services and primary income (BoP, current US$)",ExternalDebt
WBIN-0857,"Technical cooperation grants (BoP, current US$)",ExternalDebt
WBIN-0858,"Grants, excluding technical cooperation (BoP, current US$)",ExternalDebt
WBIN-0859,"Current account balance (BoP, current US$)",ExternalDebt
WBIN-0860,"Imports of goods, services and primary income (BoP, current US$)",ExternalDebt
WBIN-0861,International migrant stock (% of population),FinancialSector
WBIN-0862,"International migrant stock, total",FinancialSector
WBIN-0863,Net migration,FinancialSector
WBIN-0864,Average transaction cost of sending remittances from a specific country (%),FinancialSector
WBIN-0865,Average transaction cost of sending remittances to a specific country (%),FinancialSector
WBIN-0866,Real effective exchange rate index (2010 = 100),FinancialSector
WBIN-0867,"Official exchange rate (LCU per US$, period average)",FinancialSector
WBIN-0868,DEC alternative conversion factor (LCU per US$),FinancialSector
WBIN-0869,GDP deflator: linked series (base year varies by country),FinancialSector
WBIN-0870,"Inflation, GDP deflator: linked series (annual %)",FinancialSector
WBIN-0871,Strength of legal rights index (0=weak to 12=strong),FinancialSector
WBIN-0872,Public credit registry coverage (% of adults),FinancialSector
WBIN-0873,Private credit bureau coverage (% of adults),FinancialSector
WBIN-0874,Depth of credit information index (0=low to 8=high),FinancialSector
WBIN-0875,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FinancialSector
WBIN-0876,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FinancialSector
WBIN-0877,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FinancialSector
WBIN-0878,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FinancialSector
WBIN-0879,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FinancialSector
WBIN-0880,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FinancialSector
WBIN-0881,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FinancialSector
WBIN-0882,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FinancialSector
WBIN-0883,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FinancialSector
WBIN-0884,Domestic credit to private sector (% of GDP),FinancialSector
WBIN-0885,Domestic credit provided by financial sector (% of GDP),FinancialSector
WBIN-0886,Claims on other sectors of the domestic economy (% of GDP),FinancialSector
WBIN-0887,"Claims on central government, etc. (% GDP)",FinancialSector
WBIN-0888,"Risk premium on lending (lending rate minus treasury bill rate, %)",FinancialSector
WBIN-0889,Real interest rate (%),FinancialSector
WBIN-0890,"Interest rate spread (lending rate minus deposit rate, %)",FinancialSector
WBIN-0891,Lending interest rate (%),FinancialSector
WBIN-0892,Deposit interest rate (%),FinancialSector
WBIN-0893,Wholesale price index (2010 = 100),FinancialSector
WBIN-0894,"Inflation, consumer prices (annual %)",FinancialSector
WBIN-0895,Consumer price index (2010 = 100),FinancialSector
WBIN-0896,Broad money growth (annual %),FinancialSector
WBIN-0897,Broad money to total reserves ratio,FinancialSector
WBIN-0898,Broad money (% of GDP),FinancialSector
WBIN-0899,Broad money (current LCU),FinancialSector
WBIN-0900,Claims on private sector (annual growth as % of broad money),FinancialSector
WBIN-0901,Monetary Sector credit to private sector (% GDP),FinancialSector
WBIN-0902,Net foreign assets (current LCU),FinancialSector
WBIN-0903,Net domestic credit (current LCU),FinancialSector
WBIN-0904,Claims on other sectors of the domestic economy (annual growth as % of broad money),FinancialSector
WBIN-0905,Claims on central government (annual growth as % of broad money),FinancialSector
WBIN-0906,Total reserves minus gold (current US$),FinancialSector
WBIN-0907,Total reserves in months of imports,FinancialSector
WBIN-0908,Total reserves (% of total external debt),FinancialSector
WBIN-0909,"Total reserves (includes gold, current US$)",FinancialSector
WBIN-0910,Bank liquid reserves to bank assets ratio (%),FinancialSector
WBIN-0911,Domestic credit to private sector by banks (% of GDP),FinancialSector
WBIN-0912,"Depositors with commercial banks (per 1,000 adults)",FinancialSector
WBIN-0913,"Borrowers from commercial banks (per 1,000 adults)",FinancialSector
WBIN-0914,"Commercial bank branches (per 100,000 adults)",FinancialSector
WBIN-0915,Bank capital to assets ratio (%),FinancialSector
WBIN-0916,"Automated teller machines (ATMs) (per 100,000 adults)",FinancialSector
WBIN-0917,Bank nonperforming loans to total gross loans (%),FinancialSector
WBIN-0918,"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",FinancialSector
WBIN-0919,"Stocks traded, turnover ratio of domestic shares (%)",FinancialSector
WBIN-0920,"Stocks traded, total value (% of GDP)",FinancialSector
WBIN-0921,"Stocks traded, total value (current US$)",FinancialSector
WBIN-0922,"Listed domestic companies, total",FinancialSector
WBIN-0923,Market capitalization of listed domestic companies (% of GDP),FinancialSector
WBIN-0924,Market capitalization of listed domestic companies (current US$),FinancialSector
WBIN-0925,S&P Global Equity Indices (annual % change),FinancialSector
WBIN-0926,"Personal remittances, received (% of GDP)",FinancialSector
WBIN-0927,"Personal remittances, received (current US$)",FinancialSector
WBIN-0928,"Personal transfers, receipts (BoP, current US$)",FinancialSector
WBIN-0929,"Portfolio equity, net inflows (BoP, current US$)",FinancialSector
WBIN-0930,"Foreign direct investment, net inflows (% of GDP)",FinancialSector
WBIN-0931,"Foreign direct investment, net inflows (BoP, current US$)",FinancialSector
WBIN-0932,"Portfolio investment, net (BoP, current US$)",FinancialSector
WBIN-0933,"Foreign direct investment, net (BoP, current US$)",FinancialSector
WBIN-0934,"Personal remittances, paid (current US$)",FinancialSector
WBIN-0935,"Foreign direct investment, net outflows (% of GDP)",FinancialSector
WBIN-0936,"Foreign direct investment, net outflows (BoP, current US$)",FinancialSector
WBIN-0937,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),Gender
WBIN-0938,Women who were first married by age 18 (% of women ages 20-24),Gender
WBIN-0939,Women who were first married by age 15 (% of women ages 20-24),Gender
WBIN-0940,Female headed households (% of households with a female head),Gender
WBIN-0941,Wanted fertility rate (births per woman),Gender
WBIN-0942,"Survival to age 65, male (% of cohort)",Gender
WBIN-0943,"Survival to age 65, female (% of cohort)",Gender
WBIN-0944,"Fertility rate, total (births per woman)",Gender
WBIN-0945,"Life expectancy at birth, male (years)",Gender
WBIN-0946,"Life expectancy at birth, female (years)",Gender
WBIN-0947,"Contraceptive prevalence, any method (% of married women ages 15-49)",Gender
WBIN-0948,"Mortality rate, adult, male (per 1,000 male adults)",Gender
WBIN-0949,"Mortality rate, adult, female (per 1,000 female adults)",Gender
WBIN-0950,"Adolescent fertility rate (births per 1,000 women ages 15-19)",Gender
WBIN-0951,"Unemployment, male (% of male labor force) (modeled ILO estimate)",Gender
WBIN-0952,"Unemployment, female (% of female labor force) (modeled ILO estimate)",Gender
WBIN-0953,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",Gender
WBIN-0954,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",Gender
WBIN-0955,"Labor force, female (% of total labor force)",Gender
WBIN-0956,"Part time employment, male (% of total male employment)",Gender
WBIN-0957,"Part time employment, female (% of total female employment)",Gender
WBIN-0958,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",Gender
WBIN-0959,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",Gender
WBIN-0960,"Children in employment, work only, male (% of male children in employment, ages 7-14)",Gender
WBIN-0961,"Children in employment, work only, female (% of female children in employment, ages 7-14)",Gender
WBIN-0962,"Children in employment, study and work, male (% of male children in employment, ages 7-14)",Gender
WBIN-0963,"Children in employment, study and work, female (% of female children in employment, ages 7-14)",Gender
WBIN-0964,"Children in employment, male (% of male children ages 7-14)",Gender
WBIN-0965,"Children in employment, female (% of female children ages 7-14)",Gender
WBIN-0966,"Employment in services, male (% of male employment) (modeled ILO estimate)",Gender
WBIN-0967,"Employment in services, female (% of female employment) (modeled ILO estimate)",Gender
WBIN-0968,"Child employment in services, male (% of male economically active children ages 7-14)",Gender
WBIN-0969,"Child employment in services, female (% of female economically active children ages 7-14)",Gender
WBIN-0970,"Child employment in manufacturing, male (% of male economically active children ages 7-14)",Gender
WBIN-0971,"Child employment in manufacturing, female (% of female economically active children ages 7-14)",Gender
WBIN-0972,"Employment in industry, male (% of male employment) (modeled ILO estimate)",Gender
WBIN-0973,"Employment in industry, female (% of female employment) (modeled ILO estimate)",Gender
WBIN-0974,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",Gender
WBIN-0975,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",Gender
WBIN-0976,"Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",Gender
WBIN-0977,"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",Gender
WBIN-0978,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",Gender
WBIN-0979,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",Gender
WBIN-0980,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",Gender
WBIN-0981,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",Gender
WBIN-0982,"Self-employed, male (% of male employment) (modeled ILO estimate)",Gender
WBIN-0983,"Self-employed, female (% of female employment) (modeled ILO estimate)",Gender
WBIN-0984,"Employers, male (% of male employment) (modeled ILO estimate)",Gender
WBIN-0985,"Employers, female (% of female employment) (modeled ILO estimate)",Gender
WBIN-0986,"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",Gender
WBIN-0987,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",Gender
WBIN-0988,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",Gender
WBIN-0989,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",Gender
WBIN-0990,"Child employment in agriculture, male (% of male economically active children ages 7-14)",Gender
WBIN-0991,"Child employment in agriculture, female (% of female economically active children ages 7-14)",Gender
WBIN-0992,"Maternal mortality ratio (national estimate, per 100,000 live births)",Gender
WBIN-0993,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",Gender
WBIN-0994,"Prevalence of underweight, weight for age, male (% of children under 5)",Gender
WBIN-0995,"Prevalence of underweight, weight for age, female (% of children under 5)",Gender
WBIN-0996,Births attended by skilled health staff (% of total),Gender
WBIN-0997,Pregnant women receiving prenatal care (%),Gender
WBIN-0998,"Prevalence of current tobacco use, males (% of male adults)",Gender
WBIN-0999,"Prevalence of current tobacco use, females (% of female adults)",Gender
WBIN-1000,Lifetime risk of maternal death (%),Gender
WBIN-1001,Lifetime risk of maternal death (1 in: rate varies by country),Gender
WBIN-1002,"Prevalence of HIV, male (% ages 15-24)",Gender
WBIN-1003,"Prevalence of HIV, female (% ages 15-24)",Gender
WBIN-1004,Women's share of population ages 15+ living with HIV (%),Gender
WBIN-1005,"Condom use, population ages 15-24, male (% of males ages 15-24)",Gender
WBIN-1006,"Condom use, population ages 15-24, female (% of females ages 15-24)",Gender
WBIN-1007,Women who believe a husband is justified in beating his wife when she refuses sex with him (%),Gender
WBIN-1008,Women who believe a husband is justified in beating his wife (any of five reasons) (%),Gender
WBIN-1009,Women who believe a husband is justified in beating his wife when she neglects the children (%),Gender
WBIN-1010,Women who believe a husband is justified in beating his wife when she goes out without telling him (%),Gender
WBIN-1011,Women who believe a husband is justified in beating his wife when she burns the food (%),Gender
WBIN-1012,Women who believe a husband is justified in beating his wife when she argues with him (%),Gender
WBIN-1013,Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49),Gender
WBIN-1014,"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",Gender
WBIN-1015,"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",Gender
WBIN-1016,Women Business and the Law Index Score (scale 1-100),Gender
WBIN-1017,Proportion of seats held by women in national parliaments (%),Gender
WBIN-1018,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)",Gender
WBIN-1019,"Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)",Gender
WBIN-1020,"School enrollment, tertiary, male (% gross)",Gender
WBIN-1021,"School enrollment, tertiary, female (% gross)",Gender
WBIN-1022,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",Gender
WBIN-1023,"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)",Gender
WBIN-1024,"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)",Gender
WBIN-1025,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",Gender
WBIN-1026,"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)",Gender
WBIN-1027,"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)",Gender
WBIN-1028,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",Gender
WBIN-1029,"Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)",Gender
WBIN-1030,"Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)",Gender
WBIN-1031,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",Gender
WBIN-1032,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Gender
WBIN-1033,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Gender
WBIN-1034,"Secondary education, teachers (% female)",Gender
WBIN-1035,"Progression to secondary school, male (%)",Gender
WBIN-1036,"Progression to secondary school, female (%)",Gender
WBIN-1037,"School enrollment, secondary, male (% net)",Gender
WBIN-1038,"School enrollment, secondary, female (% net)",Gender
WBIN-1039,"School enrollment, secondary, male (% gross)",Gender
WBIN-1040,"School enrollment, secondary, female (% gross)",Gender
WBIN-1041,"Secondary education, vocational pupils (% female)",Gender
WBIN-1042,"Secondary education, general pupils (% female)",Gender
WBIN-1043,"Secondary education, pupils (% female)",Gender
WBIN-1044,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",Gender
WBIN-1045,"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)",Gender
WBIN-1046,"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)",Gender
WBIN-1047,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",Gender
WBIN-1048,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",Gender
WBIN-1049,"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Gender
WBIN-1050,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",Gender
WBIN-1051,"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)",Gender
WBIN-1052,"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",Gender
WBIN-1053,"Children out of school, primary, male",Gender
WBIN-1054,"Children out of school, primary, female",Gender
WBIN-1055,"Adjusted net enrollment rate, primary, male (% of primary school age children)",Gender
WBIN-1056,"Adjusted net enrollment rate, primary, female (% of primary school age children)",Gender
WBIN-1057,"Primary education, teachers (% female)",Gender
WBIN-1058,"Trained teachers in primary education, male (% of male teachers)",Gender
WBIN-1059,"Trained teachers in primary education, female (% of female teachers)",Gender
WBIN-1060,"Repeaters, primary, male (% of male enrollment)",Gender
WBIN-1061,"Repeaters, primary, female (% of female enrollment)",Gender
WBIN-1062,"Persistence to last grade of primary, male (% of cohort)",Gender
WBIN-1063,"Persistence to last grade of primary, female (% of cohort)",Gender
WBIN-1064,"Persistence to grade 5, male (% of cohort)",Gender
WBIN-1065,"Persistence to grade 5, female (% of cohort)",Gender
WBIN-1066,"Net intake rate in grade 1, male (% of official school-age population)",Gender
WBIN-1067,"Net intake rate in grade 1, female (% of official school-age population)",Gender
WBIN-1068,"School enrollment, primary, male (% net)",Gender
WBIN-1069,"School enrollment, primary, female (% net)",Gender
WBIN-1070,"Gross intake ratio in first grade of primary education, male (% of relevant age group)",Gender
WBIN-1071,"Gross intake ratio in first grade of primary education, female (% of relevant age group)",Gender
WBIN-1072,"School enrollment, primary, male (% gross)",Gender
WBIN-1073,"School enrollment, primary, female (% gross)",Gender
WBIN-1074,"Primary education, pupils (% female)",Gender
WBIN-1075,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",Gender
WBIN-1076,"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",Gender
WBIN-1077,"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",Gender
WBIN-1078,"Primary completion rate, male (% of relevant age group)",Gender
WBIN-1079,"Primary completion rate, female (% of relevant age group)",Gender
WBIN-1080,"School enrollment, preprimary, male (% gross)",Gender
WBIN-1081,"School enrollment, preprimary, female (% gross)",Gender
WBIN-1082,"School enrollment, tertiary (gross), gender parity index (GPI)",Gender
WBIN-1083,"School enrollment, secondary (gross), gender parity index (GPI)",Gender
WBIN-1084,"School enrollment, primary and secondary (gross), gender parity index (GPI)",Gender
WBIN-1085,"School enrollment, primary (gross), gender parity index (GPI)",Gender
WBIN-1086,"Literacy rate, adult male (% of males ages 15 and above)",Gender
WBIN-1087,"Literacy rate, adult female (% of females ages 15 and above)",Gender
WBIN-1088,"Literacy rate, youth male (% of males ages 15-24)",Gender
WBIN-1089,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",Gender
WBIN-1090,"Literacy rate, youth female (% of females ages 15-24)",Gender
WBIN-1091,Firms with female participation in ownership (% of firms),Gender
WBIN-1092,Firms with female top manager (% of firms),Gender
WBIN-1093,Unmet need for contraception (% of married women ages 15-49),Health
WBIN-1094,Completeness of death registration with cause-of-death information (%),Health
WBIN-1095,Completeness of birth registration (%),Health
WBIN-1096,"Completeness of birth registration, urban (%)",Health
WBIN-1097,"Completeness of birth registration, rural (%)",Health
WBIN-1098,"Completeness of birth registration, male (%)",Health
WBIN-1099,"Completeness of birth registration, female (%)",Health
WBIN-1100,"Population, male (% of total population)",Health
WBIN-1101,"Population, male",Health
WBIN-1102,"Population, female (% of total population)",Health
WBIN-1103,"Population, female",Health
WBIN-1104,"Population, total",Health
WBIN-1105,Population growth (annual %),Health
WBIN-1106,"Age dependency ratio, young (% of working-age population)",Health
WBIN-1107,"Age dependency ratio, old (% of working-age population)",Health
WBIN-1108,Age dependency ratio (% of working-age population),Health
WBIN-1109,Sex ratio at birth (male births per female births),Health
WBIN-1110,"Population ages 80 and above, male (% of male population)",Health
WBIN-1111,"Population ages 80 and above, female (% of female population)",Health
WBIN-1112,"Population ages 75-79, male (% of male population)",Health
WBIN-1113,"Population ages 75-79, female (% of female population)",Health
WBIN-1114,"Population ages 70-74, male (% of male population)",Health
WBIN-1115,"Population ages 70-74, female (% of female population)",Health
WBIN-1116,Population ages 65 and above (% of total population),Health
WBIN-1117,"Population ages 65 and above, total",Health
WBIN-1118,"Population ages 65 and above, male (% of male population)",Health
WBIN-1119,"Population ages 65 and above, male",Health
WBIN-1120,"Population ages 65 and above, female (% of female population)",Health
WBIN-1121,"Population ages 65 and above, female",Health
WBIN-1122,"Population ages 65-69, male (% of male population)",Health
WBIN-1123,"Population ages 65-69, female (% of female population)",Health
WBIN-1124,"Population ages 60-64, male (% of male population)",Health
WBIN-1125,"Population ages 60-64, female (% of female population)",Health
WBIN-1126,"Population ages 55-59, male (% of male population)",Health
WBIN-1127,"Population ages 55-59, female (% of female population)",Health
WBIN-1128,"Population ages 50-54, male (% of male population)",Health
WBIN-1129,"Population ages 50-54, female (% of female population)",Health
WBIN-1130,"Population ages 45-49, male (% of male population)",Health
WBIN-1131,"Population ages 45-49, female (% of female population)",Health
WBIN-1132,"Population ages 40-44, male (% of male population)",Health
WBIN-1133,"Population ages 40-44, female (% of female population)",Health
WBIN-1134,"Population ages 35-39, male (% of male population)",Health
WBIN-1135,"Population ages 35-39, female (% of female population)",Health
WBIN-1136,"Population ages 30-34, male (% of male population)",Health
WBIN-1137,"Population ages 30-34, female (% of female population)",Health
WBIN-1138,"Population ages 25-29, male (% of male population)",Health
WBIN-1139,"Population ages 25-29, female (% of female population)",Health
WBIN-1140,"Population ages 20-24, male (% of male population)",Health
WBIN-1141,"Population ages 20-24, female (% of female population)",Health
WBIN-1142,Population ages 15-64 (% of total population),Health
WBIN-1143,"Population ages 15-64, total",Health
WBIN-1144,"Population ages 15-64, male (% of male population)",Health
WBIN-1145,"Population ages 15-64, male",Health
WBIN-1146,"Population ages 15-64, female (% of female population)",Health
WBIN-1147,"Population ages 15-64, female",Health
WBIN-1148,"Population ages 15-19, male (% of male population)",Health
WBIN-1149,"Population ages 15-19, female (% of female population)",Health
WBIN-1150,"Population ages 10-14, male (% of male population)",Health
WBIN-1151,"Population ages 10-14, female (% of female population)",Health
WBIN-1152,"Population ages 05-09, male (% of male population)",Health
WBIN-1153,"Population ages 05-09, female (% of female population)",Health
WBIN-1154,Population ages 0-14 (% of total population),Health
WBIN-1155,"Population ages 0-14, total",Health
WBIN-1156,"Population ages 0-14, male (% of male population)",Health
WBIN-1157,"Population ages 0-14, male",Health
WBIN-1158,"Population ages 0-14, female (% of female population)",Health
WBIN-1159,"Population ages 0-14, female",Health
WBIN-1160,"Population ages 00-04, male (% of male population)",Health
WBIN-1161,"Population ages 00-04, female (% of female population)",Health
WBIN-1162,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),Health
WBIN-1163,Women who were first married by age 18 (% of women ages 20-24),Health
WBIN-1164,Women who were first married by age 15 (% of women ages 20-24),Health
WBIN-1165,Female headed households (% of households with a female head),Health
WBIN-1166,Wanted fertility rate (births per woman),Health
WBIN-1167,"Survival to age 65, male (% of cohort)",Health
WBIN-1168,"Survival to age 65, female (% of cohort)",Health
WBIN-1169,"Fertility rate, total (births per woman)",Health
WBIN-1170,"Life expectancy at birth, male (years)",Health
WBIN-1171,"Life expectancy at birth, total (years)",Health
WBIN-1172,"Life expectancy at birth, female (years)",Health
WBIN-1173,"Mortality rate, infant, male (per 1,000 live births)",Health
WBIN-1174,"Mortality rate, infant (per 1,000 live births)",Health
